block,hospitals_within_circle
block_no :0,4.0
block_no :1,2.0
block_no :2,2.0
block_no :3,3.0
block_no :4,2.0
block_no :5,1.0
block_no :6,5.0
block_no :7,5.0
block_no :8,4.0
block_no :9,4.0
block_no :10,2.0
block_no :11,6.0
block_no :12,3.0
block_no :13,6.0
block_no :14,5.0
block_no :15,6.0
block_no :16,5.0
block_no :17,6.0
block_no :18,1.0
block_no :19,1.0
block_no :20,4.0
block_no :21,3.0
block_no :22,0.0
block_no :23,6.0
block_no :24,5.0
block_no :25,5.0
block_no :26,5.0
block_no :27,5.0
block_no :28,5.0
block_no :29,11.0
block_no :30,5.0
block_no :31,3.0
block_no :32,4.0
block_no :33,0.0
block_no :34,0.0
block_no :35,2.0
block_no :36,0.0
block_no :37,0.0
block_no :38,0.0
block_no :39,0.0
block_no :40,0.0
block_no :41,0.0
block_no :42,84.0
block_no :43,93.0
block_no :44,92.0
block_no :45,82.0
block_no :46,75.0
block_no :47,87.0
block_no :48,83.0
block_no :49,89.0
block_no :50,86.0
block_no :51,74.0
block_no :52,85.0
block_no :53,85.0
block_no :54,84.0
block_no :55,85.0
block_no :56,86.0
block_no :57,82.0
block_no :58,79.0
block_no :59,83.0
block_no :60,63.0
block_no :61,69.0
block_no :62,56.0
block_no :63,44.0
block_no :64,58.0
block_no :65,55.0
block_no :66,61.0
block_no :67,59.0
block_no :68,47.0
block_no :69,50.0
block_no :70,52.0
block_no :71,56.0
block_no :72,38.0
block_no :73,40.0
block_no :74,39.0
block_no :75,59.0
block_no :76,66.0
block_no :77,36.0
block_no :78,56.0
block_no :79,44.0
block_no :80,38.0
block_no :81,50.0
block_no :82,58.0
block_no :83,29.0
block_no :84,32.0
block_no :85,30.0
block_no :86,27.0
block_no :87,21.0
block_no :88,25.0
block_no :89,27.0
block_no :90,22.0
block_no :91,12.0
block_no :92,27.0
block_no :93,23.0
block_no :94,18.0
block_no :95,17.0
block_no :96,21.0
block_no :97,81.0
block_no :98,79.0
block_no :99,79.0
block_no :100,73.0
block_no :101,89.0
block_no :102,21.0
block_no :103,12.0
block_no :104,25.0
block_no :105,17.0
block_no :106,20.0
block_no :107,25.0
block_no :108,63.0
block_no :109,58.0
block_no :110,82.0
block_no :111,79.0
block_no :112,75.0
block_no :113,76.0
block_no :114,75.0
block_no :115,69.0
block_no :116,70.0
block_no :117,70.0
block_no :118,74.0
block_no :119,66.0
block_no :120,72.0
block_no :121,62.0
block_no :122,64.0
block_no :123,42.0
block_no :124,46.0
block_no :125,61.0
block_no :126,71.0
block_no :127,55.0
block_no :128,42.0
block_no :129,49.0
block_no :130,33.0
block_no :131,39.0
block_no :132,30.0
block_no :133,34.0
block_no :134,34.0
block_no :135,42.0
block_no :136,47.0
block_no :137,47.0
block_no :138,49.0
block_no :139,52.0
block_no :140,55.0
block_no :141,50.0
block_no :142,53.0
block_no :143,57.0
block_no :144,56.0
block_no :145,62.0
block_no :146,56.0
block_no :147,59.0
block_no :148,53.0
block_no :149,53.0
block_no :150,54.0
block_no :151,30.0
block_no :152,51.0
block_no :153,42.0
block_no :154,29.0
block_no :155,42.0
block_no :156,24.0
block_no :157,24.0
block_no :158,30.0
block_no :159,23.0
block_no :160,23.0
block_no :161,29.0
block_no :162,22.0
block_no :163,22.0
block_no :164,20.0
block_no :165,21.0
block_no :166,22.0
block_no :167,15.0
block_no :168,16.0
block_no :169,9.0
block_no :170,9.0
block_no :171,7.0
block_no :172,9.0
block_no :173,12.0
block_no :174,9.0
block_no :175,9.0
block_no :176,4.0
block_no :177,4.0
block_no :178,3.0
block_no :179,1.0
