Type,Coordinates
Point,POINT (-95.3654605 29.7767798)
Point,POINT (-95.386876 29.7233769)
Point,POINT (-95.4214091 29.7039432)
Point,POINT (-95.399419 29.7079305)
Point,POINT (-95.422512 29.734488)
Point,POINT (-95.426869 29.676144)
Point,POINT (-95.3589508 29.7008748)
Point,POINT (-95.3590122 29.7045891)
Point,POINT (-95.3171879 29.7262042)
Point,POINT (-95.3126242 29.7119875)
Point,POINT (-95.3142948 29.7113316)
Point,POINT (-95.3751859 29.7400637)
Point,POINT (-95.3645731 29.7439239)
Point,POINT (-95.2970373 29.6965279)
Point,POINT (-95.2961698 29.6994831)
Point,POINT (-95.2971501 29.6962225)
Point,POINT (-95.297649 29.7016694)
Point,POINT (-95.3098234 29.7290692)
Point,POINT (-95.2939996 29.7178495)
Point,POINT (-95.2965218 29.7039845)
Point,POINT (-95.3989785 29.7725803)
Point,POINT (-95.3989819 29.7726682)
Point,POINT (-95.4184239 29.7330473)
Point,POINT (-95.4206693 29.7052849)
Point,POINT (-95.4110849 29.7343966)
Point,POINT (-95.4120017 29.6934421)
Point,POINT (-95.3629938 29.7549499)
Point,POINT (-95.3098685 29.7803014)
Point,POINT (-95.1473329 29.5842162)
Point,POINT (-95.4291834 29.818671)
Point,POINT (-95.3990876 29.8067015)
Point,POINT (-95.4097712 29.8082562)
Point,POINT (-95.3833886 29.7754552)
Point,POINT (-95.4097377 29.8211539)
Point,POINT (-95.4097554 29.8219867)
Point,POINT (-95.4099517 29.8134525)
Point,POINT (-95.3827455 29.7746248)
Point,POINT (-95.4289359 29.8164616)
Point,POINT (-95.3816679 29.7701456)
Point,POINT (-95.4175835 29.7606004)
Point,POINT (-95.3982648 29.8140708)
Point,POINT (-95.4291766 29.8180692)
Point,POINT (-95.4000163 29.8117752)
Point,POINT (-95.4321188 29.8023435)
Point,POINT (-95.4301741 29.8167554)
Point,POINT (-95.4125363 29.7294106)
Point,POINT (-95.406111 29.7538084)
Point,POINT (-95.3987093 29.8146497)
Point,POINT (-95.4253925 29.7424705)
Point,POINT (-95.4108002 29.8080583)
Point,POINT (-95.4181065 29.7160441)
Point,POINT (-95.4159915 29.7620397)
Point,POINT (-95.2317516 29.6293787)
Point,POINT (-95.4006124 29.769459)
Point,POINT (-95.4082691 29.7815879)
Point,POINT (-95.3979592 29.7737829)
Point,POINT (-95.3339892 29.7559534)
Point,POINT (-95.3341408 29.7558906)
Point,POINT (-95.3474371 29.7579475)
Point,POINT (-95.4091348 29.7417041)
Point,POINT (-95.4103673 29.7412976)
Point,POINT (-95.3916887 29.7675171)
Point,POINT (-95.4015026 29.7703486)
Point,POINT (-95.4104871 29.8081089)
Point,POINT (-95.3986323 29.7601929)
Point,POINT (-95.398637 29.7598875)
Point,POINT (-95.2658517 29.6022821)
Point,POINT (-95.3995524 29.8051851)
Point,POINT (-95.3616587 29.785871)
Point,POINT (-95.3666801 29.7966574)
Point,POINT (-95.2780876 29.69507)
Point,POINT (-95.2783725 29.6950521)
Point,POINT (-95.4422955 29.7221129)
Point,POINT (-95.4554204 29.8084905)
Point,POINT (-95.4551831 29.8085778)
Point,POINT (-95.390608 29.7419275)
Point,POINT (-95.1531828 29.5840632)
Point,POINT (-95.3949708 29.8127905)
Point,POINT (-95.4098241 29.7685137)
Point,POINT (-95.4310452 29.8291684)
Point,POINT (-95.4338075 29.8287458)
Point,POINT (-95.1813898 30.0499666)
Point,POINT (-95.2083096 30.0679257)
Point,POINT (-95.2469683 30.0507566)
Point,POINT (-95.2470667 30.0504865)
Point,POINT (-95.2354609 30.0487068)
Point,POINT (-95.2356244 30.048703)
Point,POINT (-95.1852396 30.0483498)
Point,POINT (-95.1832684 30.0459483)
Point,POINT (-95.1838031 30.0476134)
Point,POINT (-95.1839869 30.0475333)
Point,POINT (-95.1838506 30.0473612)
Point,POINT (-95.1870813 30.0549078)
Point,POINT (-95.1871719 30.0548944)
Point,POINT (-95.1862291 30.0517801)
Point,POINT (-95.1862586 30.0518451)
Point,POINT (-95.2480069 30.0601925)
Point,POINT (-95.385707 29.8598632)
Point,POINT (-95.1722775 30.072272)
Point,POINT (-95.383388 29.8458799)
Point,POINT (-95.4010297 29.8599084)
Point,POINT (-95.3809433 29.8310507)
Point,POINT (-95.379832 29.829444)
Point,POINT (-95.3792209 29.8281956)
Point,POINT (-95.4321049 29.8275395)
Point,POINT (-95.4292416 29.8273696)
Point,POINT (-95.3800321 29.8289978)
Point,POINT (-95.3758375 29.8313125)
Point,POINT (-95.4292454 29.8275003)
Point,POINT (-95.2470504 30.0618654)
Point,POINT (-95.2479006 30.0605515)
Point,POINT (-95.2461178 30.0647478)
Point,POINT (-95.2461473 30.0646411)
Point,POINT (-95.3849418 29.8448244)
Point,POINT (-95.2600149 30.0464919)
Point,POINT (-95.2600149 30.0466153)
Point,POINT (-95.2459013 30.0535054)
Point,POINT (-95.3335619 29.8700034)
Point,POINT (-95.3844769 29.872258)
Point,POINT (-95.3844774 29.8723091)
Point,POINT (-95.4009446 29.933949)
Point,POINT (-95.4061317 29.8583767)
Point,POINT (-95.3913658 29.8466594)
Point,POINT (-95.4343264 29.8287472)
Point,POINT (-95.1837133 30.0471185)
Point,POINT (-95.404751 29.9170522)
Point,POINT (-95.379795 29.830272)
Point,POINT (-95.47327 29.70801)
Point,POINT (-95.460684 29.688159)
Point,POINT (-95.5019009 29.75018)
Point,POINT (-95.5873067 29.697767)
Point,POINT (-95.624718 29.7520825)
Point,POINT (-95.5804252 29.7032578)
Point,POINT (-95.4901707 29.8037433)
Point,POINT (-95.4732361 29.7084045)
Point,POINT (-95.4944998 29.8003167)
Point,POINT (-95.5907821 29.7699633)
Point,POINT (-95.4864718 29.7480679)
Point,POINT (-95.4675821 29.7860739)
Point,POINT (-95.4780923 29.7494605)
Point,POINT (-95.4791137 29.7494347)
Point,POINT (-95.4564525 29.7578304)
Point,POINT (-95.4566768 29.7578081)
Point,POINT (-95.499816 29.7499707)
Point,POINT (-95.6262465 29.759888)
Point,POINT (-95.6260366 29.7609638)
Point,POINT (-95.6260366 29.7609374)
Point,POINT (-95.6260377 29.7611872)
Point,POINT (-95.6260377 29.7611635)
Point,POINT (-95.4629491 29.7412168)
Point,POINT (-95.4679094 29.8206059)
Point,POINT (-95.4684958 29.8206938)
Point,POINT (-95.4848396 29.7369332)
Point,POINT (-95.5377389 29.7380676)
Point,POINT (-95.523487 29.8074769)
Point,POINT (-95.5335698 29.7861861)
Point,POINT (-95.5614848 29.7374567)
Point,POINT (-95.488106 29.6965832)
Point,POINT (-95.4605653 29.8132748)
Point,POINT (-95.4856151 29.8320302)
Point,POINT (-95.5400811 29.961785)
Point,POINT (-95.5043147 29.8511675)
Point,POINT (-95.5118668 29.8540669)
Point,POINT (-95.523363 29.8580064)
Polygon,"POLYGON ((-95.3941478 29.7106182, -95.3940794 29.7105739, -95.3941252 29.7105327, -95.393227 29.7099789, -95.3931876 29.7100318, -95.3931304 29.7100017, -95.3926694 29.7105634, -95.3927271 29.7106036, -95.3926832 29.7106647, -95.3929014 29.710787, -95.392854 29.7108386, -95.3929104 29.7108644, -95.3929531 29.7108268, -95.3932501 29.7110045, -95.3932057 29.7110539, -95.3933287 29.7111254, -95.3933673 29.7110725, -95.3935806 29.7112029, -95.3936113 29.7111556, -95.3936872 29.7111905, -95.3937677 29.7110923, -95.393874 29.7111524, -95.3940191 29.7112345, -95.394158 29.7110637, -95.3943133 29.7111612, -95.3943375 29.7111274, -95.3942764 29.7110939, -95.394326 29.711014, -95.3942866 29.710991, -95.3941908 29.710935, -95.3942309 29.7108808, -95.3941318 29.7108227, -95.3941438 29.7107977, -95.3940472 29.7107392, -95.3941478 29.7106182))"
Polygon,"POLYGON ((-95.3644444 29.7474468, -95.3641274 29.7472618, -95.364339 29.7469886, -95.3644326 29.7468677, -95.3647494 29.7470526, -95.3646937 29.7471244, -95.3644444 29.7474468))"
Polygon,"POLYGON ((-95.395208 29.7143115, -95.3947804 29.7140455, -95.3952601 29.7134464, -95.3953247 29.7133653, -95.3962254 29.7139042, -95.3960833 29.7139443, -95.39547 29.7139976, -95.395208 29.7143115))"
